Original,Refactoring,Time,Improvement,Original Score,Refactoring Score
!(!(A<->(B|C|!D))|!(!D&E)),((A<->(B|C|!D))&!D&E),0.068,0.7024592159727295,41.07,28.85
!(!(A<->(B|C|!D))|!(!D&E)),((A<->(B|C|!D))&!D&E),0.076,0.7024592159727295,41.07,28.85
(!(A<->(B|C|!D))&!(!D&E)),(!(A<->!(!B&!C&D))&(D|!E)),0.219,0.9776433456075747,38.02,37.169999999999995
(!A&!B&!C&!D),(!A&!B&!C&!D),0.0,1.0,15.540000000000001,15.540000000000001
!(!A&B&C&!D),(A|!B|!C|D),0.002,0.877318970676242,16.709999999999997,14.660000000000002
(!A|B|C|!D),(!A|B|C|!D),0.002,1.0,14.660000000000002,14.660000000000002
(!A|B|C|!D),(!A|B|C|!D),0.002,1.0,14.660000000000002,14.660000000000002
(A->(!B&!C&!D)),(!A|(!B&!C&!D)),0.001,0.9397930385700844,21.260000000000005,19.98
((A&B)->!(C|D)),(!A|!B|(!C&!D)),0.004,0.7804687499999999,25.6,19.98
!((!A|!B)->(C|D)),((!A|!B)&!C&!D),0.003,0.664891846921797,30.05,19.98
!((!A|!B)->(C|D)),((!A|!B)&!C&!D),0.003,0.664891846921797,30.05,19.98
(((A|B)&C)->!D),((!A&!B)|!C|!D),0.015,0.8215460526315789,24.320000000000004,19.98
!(((A|!B)|C)->!D),((A|!B|C)&D),0.015,0.5035141973573236,35.57,17.91
((!A&(B|C))->!D),(A|(!B&!C)|!D),0.015,0.7712914834066374,25.01,19.290000000000003
(A->((B|C|D)&(E|F))),(A->((B|C|D)&(E|F))),0.083,1.0,25.96,25.96
!(A->!(!(B|!C|!D)&!(E&!F))),(A&!B&C&D&(!E|F)),0.026,0.5237211767824014,37.73,19.76
!(A->!(!(B|!C|!D)&!(E&!F))),(A&!B&C&D&(!E|F)),0.026,0.5237211767824014,37.73,19.76
((!A&!B&C&D)->E),(A|B|!C|!D|E),0.013,0.7205673758865249,21.15,15.24
!(!(A|!B|C|D)->E),(!A&B&!C&!D&!E),0.01,0.6185725249424406,26.06,16.12
(A->(!B&!C&(D|E|F))),(!A|(!B&!C&(D|E|F))),0.038,0.9782193351165455,26.17,25.599999999999998
!(A->!(B&C&!(!D|E|!F))),(A&B&C&D&!E&F),0.016,0.43258426966292146,33.81999999999999,14.63
!(A->!(B&C&!(!D|E|!F))),(A&B&C&D&!E&F),0.017,0.43258426966292146,33.81999999999999,14.63
(!A->(!B&!C&!D)),((B|C|D)->A),0.001,0.8123006833712983,21.950000000000003,17.830000000000002
!(!A->(!B&C&D)),(!A&(B|!C|!D)),0.02,0.7273755656108597,26.520000000000003,19.290000000000003
(!(A|B)->!(C|D|E|F)),(A|B|(!C&!D&!E&!F)),0.005,0.7376133984647593,28.66,21.14
!((A&!B)->(C&!D&!E&!F)),(A&!B&(!C|D|E|F)),0.029,0.6255144032921811,31.59,19.76
((A->!B)&(C->!D)),((!A|!B)&(!C|!D)),0.016,0.9152744630071598,25.14,23.009999999999998
(!(!A->B)|!(!C->!D)),((!A&!B)|(!C&D)),0.022,0.7379100439634765,29.57,21.82
(!(!A->B)|!(!C->!D)),((!A&!B)|(!C&D)),0.021,0.7379100439634765,29.57,21.82
!(A&B&!C&D),(!A|!B|C|!D),0.0,0.958177278401998,16.019999999999996,15.350000000000003
(!A&!B&C&D),(!A&!B&C&D),0.003,1.0,14.160000000000002,14.160000000000002
(!A&!B&C&D),(!A&!B&C&D),0.002,1.0,14.160000000000002,14.160000000000002
!(!A&B&!C&D),(A|!B|C|!D),0.002,0.877318970676242,16.709999999999997,14.660000000000002
(A&!B&!C&D),(A&!B&!C&D),0.003,1.0,14.160000000000002,14.160000000000002
!(A|!B|!C|D),(!A&B&C&!D),0.002,0.8227774549680421,17.209999999999997,14.160000000000002
((A&B)->(C&(D|E))),(!A|!B|(C&(D|E))),0.028,0.9778938906752411,24.880000000000003,24.330000000000002
!(!(!A|!B)->(C|!(!D&E))),(A&B&!C&!D&E),0.017,0.38285714285714295,38.49999999999999,14.74
!(!(!A|!B)->(C|!(!D&E))),(A&B&!C&!D&E),0.017,0.38285714285714295,38.49999999999999,14.74
(((A|B)&C)->D),((!A&!B)|!C|D),0.015,0.8860817638952686,21.770000000000007,19.290000000000003
!(((A|B)|C)->!D),((A|B|C)&D),0.009,0.4403669724770642,34.88,15.36
(A->((B&C&D)->!E)),(!A|!B|!C|!D|!E),0.013,0.6276287164612038,27.580000000000005,17.310000000000002
!(A->((B|!C|D)->E)),(A&(B|!C|D)&!E),0.022,0.5124231899545819,37.43,19.18
!(A&!B&!C&D),(!A|B|C|!D),0.002,0.877318970676242,16.709999999999997,14.660000000000002
(A&B&C&D),(A&B&C&D),0.0,1.0,10.92,10.92
!(A|B|C|D),(!A&!B&!C&!D),0.0,0.8946459412780656,17.37,15.540000000000001
((A&!B&!C)->D),(!A|B|C|D),0.009,0.679144385026738,20.57,13.97
((!A&B&C)<->D),((!A&B&C)<->D),0.048,1.0,22.560000000000002,22.560000000000002
!(!A&!B&C&D),(A|B|!C|!D),0.002,0.877318970676242,16.709999999999997,14.660000000000002
(A&B&!C&D),(A&B&!C&D),0.0,1.0,13.47,13.47
((A&B&C&!D&!E)->F),(!A|!B|!C|D|E|F),0.018,0.7597791072250346,21.730000000000004,16.510000000000005
!(!(A|B|!C|!D|!E)->F),(!A&!B&C&D&E&!F),0.021,0.5713775874375449,28.02,16.010000000000005
((A&!B&!C)->!D),(!A|B|C|!D),0.013,0.689557855126999,21.260000000000005,14.660000000000002
!(!(!A&!B&C)->D),((A|B|!C)&!D),0.014,0.7245812232177639,25.669999999999998,18.599999999999998
(!A&!B&!C&!D&!E),(!A&!B&!C&!D&!E),0.0,1.0,16.810000000000002,16.810000000000002
(!A|!B|!C|D|!E),!(A&B&C&!D&E),0.001,0.9987966305655834,16.62,16.599999999999998
(!A|!B|!C|D|!E),!(A&B&C&!D&E),0.001,0.9987966305655834,16.62,16.599999999999998
((A&B&!C&!D&!E)->F),(!A|!B|C|D|E|F),0.016,0.7056199821587869,22.42,15.820000000000002
!((!A&!B&!C&D&!E)->!F),(!A&!B&!C&D&!E&F),0.022,0.561344537815126,29.75,16.7
(A->(B&!C&!D)),(!A|(B&!C&!D)),0.013,0.9377734564900342,20.57,19.290000000000003
!(!A->(!B&C&!D)),(!A&(B|!C|D)),0.014,0.683572216097023,27.21,18.599999999999998
!(!A->(!B&C&!D)),(!A&(B|!C|D)),0.014,0.683572216097023,27.21,18.599999999999998
((!A&!B&!C)->D),(A|B|C|D),0.0,0.5371589840075257,21.260000000000005,11.42
!(!(!A&!B&C)->D),((A|B|!C)&!D),0.014,0.7245812232177639,25.669999999999998,18.599999999999998
((A&B)|(B&C)|(B&D)),((A|C|D)&B),0.016,0.71177015755329,21.580000000000002,15.36
!(!(A|B)|(B|C)|!(!B|!D)),((A|B)&!B&(!B|!D)&!C),0.023,0.7364411943936623,32.82,24.169999999999998
!(!(A|B)|(B|C)|!(!B|!D)),((A|B)&!B&(!B|!D)&!C),0.022,0.7364411943936623,32.82,24.169999999999998
